videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection,timestamp_raw
-8vsr-1lbzg_head,https://www.youtube.com/watch?v=-8vsr-1lbzg,"[['0:00:05.972', '0:00:11.172']]",['The characters from dragon ball kai are standing on top of a cliff with mountains in the background.'],[0.4541015625],['0_low_desirable_score'],"[[['0:00:00.000', '0:00:00.567'], ['0:00:00.633', '0:00:48.014']]]","[['0:00:05.972', '0:00:11.172']]"
-8vsr-1lbzg_tail,https://www.youtube.com/watch?v=-8vsr-1lbzg,"[['0:00:48.820', '0:00:54.020']]",['The characters from dragon ball kai are standing on top of a cliff with mountains in the background.'],[0.4541015625],['0_low_desirable_score'],"[[['0:00:00.000', '0:00:00.567'], ['0:00:00.633', '0:00:48.014']]]","[['0:00:48.820', '0:00:54.020']]"
0MM5hZGVurY_head,https://www.youtube.com/watch?v=0MM5hZGVurY,"[['0:00:06.000', '0:00:11.200']]",['A person holding a screwdriver next to an iphone.'],[0.453857421875],['desirable'],"[[['0:00:00.000', '0:00:47.966']]]","[['0:00:06.000', '0:00:11.200']]"
0MM5hZGVurY_tail,https://www.youtube.com/watch?v=0MM5hZGVurY,"[['0:00:48.800', '0:00:54.000']]",['A person holding a screwdriver next to an iphone.'],[0.453857421875],['desirable'],"[[['0:00:00.000', '0:00:47.966']]]","[['0:00:48.800', '0:00:54.000']]"
0j9CnISnhco_head,https://www.youtube.com/watch?v=0j9CnISnhco,"[['0:00:05.983', '0:00:11.183']]",['A person is using a butter knife to open a bottle of tomato sauce that has a sealed lid.'],[0.447021484375],['desirable'],"[[['0:00:00.000', '0:00:48.000']]]","[['0:00:05.983', '0:00:11.183']]"
0j9CnISnhco_tail,https://www.youtube.com/watch?v=0j9CnISnhco,"[['0:00:48.816', '0:00:54.016']]",['A person is using a butter knife to open a bottle of tomato sauce that has a sealed lid.'],[0.447021484375],['desirable'],"[[['0:00:00.000', '0:00:48.000']]]","[['0:00:48.816', '0:00:54.016']]"
1QS9XC71SsQ_head,https://www.youtube.com/watch?v=1QS9XC71SsQ,"[['0:00:06.000', '0:00:11.200']]",['The camera is driving through a parking lot with palm trees and mountains in the background.'],[0.443359375],['desirable'],"[[['0:00:00.000', '0:00:47.966']]]","[['0:00:06.000', '0:00:11.200']]"
1QS9XC71SsQ_tail,https://www.youtube.com/watch?v=1QS9XC71SsQ,"[['0:00:48.800', '0:00:54.000']]",['The camera is driving through a parking lot with palm trees and mountains in the background.'],[0.443359375],['desirable'],"[[['0:00:00.000', '0:00:47.966']]]","[['0:00:48.800', '0:00:54.000']]"
1lqlL5LlQtI_head,https://www.youtube.com/watch?v=1lqlL5LlQtI,"[['0:00:10.927', '0:00:16.127']]","['A man is standing in front of a whiteboard and talking about his experience with lyme disease. he mentions that he had limes disease in the past, but did not see any ticks.']",[0.48193359375],['desirable'],"[[['0:00:00.000', '0:00:48.006']]]","[['0:00:10.927', '0:00:16.127']]"
1lqlL5LlQtI_tail,https://www.youtube.com/watch?v=1lqlL5LlQtI,"[['0:00:53.775', '0:00:58.975']]","['A man is standing in front of a whiteboard and talking about his experience with lyme disease. he mentions that he had limes disease in the past, but did not see any ticks.']",[0.48193359375],['desirable'],"[[['0:00:00.000', '0:00:48.006']]]","[['0:00:53.775', '0:00:58.975']]"
26G_tFaoTtw_head,https://www.youtube.com/watch?v=26G_tFaoTtw,"[['0:00:15.682', '0:00:20.882']]",['A view of mountains and a lake from the top of a mountain.'],[0.46142578125],['desirable'],"[[['0:00:00.000', '0:00:48.006']]]","[['0:00:15.682', '0:00:20.882']]"
26G_tFaoTtw_tail,https://www.youtube.com/watch?v=26G_tFaoTtw,"[['0:00:58.530', '0:01:03.730']]",['A view of mountains and a lake from the top of a mountain.'],[0.46142578125],['desirable'],"[[['0:00:00.000', '0:00:48.006']]]","[['0:00:58.530', '0:01:03.730']]"
2PY4sQBqtZg_head,https://www.youtube.com/watch?v=2PY4sQBqtZg,"[['0:00:21.000', '0:00:26.200']]",['A young man is sitting on a red lawn mower in the middle of a green forest.'],[0.45654296875],['desirable'],"[[['0:00:00.000', '0:00:05.827'], ['0:00:05.896', '0:00:47.965']]]","[['0:00:21.000', '0:00:26.200']]"
2PY4sQBqtZg_tail,https://www.youtube.com/watch?v=2PY4sQBqtZg,"[['0:01:03.800', '0:01:09.000']]",['A young man is sitting on a red lawn mower in the middle of a green forest.'],[0.45654296875],['desirable'],"[[['0:00:00.000', '0:00:05.827'], ['0:00:05.896', '0:00:47.965']]]","[['0:01:03.800', '0:01:09.000']]"
2STakj_uyfY_head,https://www.youtube.com/watch?v=2STakj_uyfY,"[['0:00:06.000', '0:00:11.200']]",['A person is using a screwdriver to fix a door hinge.'],[0.451904296875],['desirable'],"[[['0:00:00.000', '0:00:47.966']]]","[['0:00:06.000', '0:00:11.200']]"
2STakj_uyfY_tail,https://www.youtube.com/watch?v=2STakj_uyfY,"[['0:00:48.800', '0:00:54.000']]",['A person is using a screwdriver to fix a door hinge.'],[0.451904296875],['desirable'],"[[['0:00:00.000', '0:00:47.966']]]","[['0:00:48.800', '0:00:54.000']]"
4Lr4x2IOxlU_head,https://www.youtube.com/watch?v=4Lr4x2IOxlU,"[['0:00:06.000', '0:00:11.200']]",['A video game with a mountain in the background.'],[0.443603515625],['desirable'],"[[['0:00:00.000', '0:00:48.000']]]","[['0:00:06.000', '0:00:11.200']]"
